display_name,name_from_wordpress,wp_category,sector,city,state,wp_date,year_completed,delivery_method,photo_file,wp_featured_image_url,notes
University of Miami Dwayne Johnson Locker Rooms,UNIVERSITY OF MIAMI DWAYNE JOHNSON LOCKER ROOMS,Interior,,,,2023-04-06,,,project-university-miami-dwayne-rock-johnson-locker-rooms.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/05/UM-Locker-Rooms-3.png,
Miami World Center Block F-East,MIAMI WORLD CENTER BLOCK F-EAST,Commercial; Current Projects,Commercial; Current Projects,,,2022-06-05,,,project-miami-world-center-block-f-east.jpg,https://www.bdiconstruction.com/wp-content/uploads/2022/06/mwc-10.png,
Amerant Bank Coral Way,AMERANT BANK CORAL WAY,Interior,,,,2022-06-03,,,project-amerant-bank-coral-way.jpg,https://www.bdiconstruction.com/wp-content/uploads/2022/06/amerant-1.png,
The Cushman School,THE CUSHMAN SCHOOL,Educational; Exterior; Interior,Educational,,,2022-06-02,,,project-the-cushman-school.jpg,https://www.bdiconstruction.com/wp-content/uploads/2022/06/cushman-14.png,
Kla Schools Brickell,KLA SCHOOLS BRICKELL,Exterior; Interior,,,,2022-06-01,,,project-kla-schools-brickell.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/01/KLA_EADSW_3560FF.jpg,
Cerveceria La Tropical Brewery & Restaurant,CERVECERIA LA TROPICAL BREWERY & RESTAURANT,Commercial; Interior,Commercial,,,2022-05-30,,,project-cerveceria-la-tropical-brewery-restaurant.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/01/website-2.jpg,
Father Marquess-Barry Multi Story Apartments,FATHER MARQUESS-BARRY MULTI STORY APARTMENTS,Exterior,,,,2022-05-28,,,project-father-marquess-barry-multi-story-apartments.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/05/DJI_0459.jpg,
Mater Lakes Gymnasium,MATER LAKES GYMNASIUM,Current Projects; Exterior; Interior,Current Projects,,,2022-05-25,,,project-mater-lakes-gymnasium.jpg,https://www.bdiconstruction.com/wp-content/uploads/2022/05/IMG_6623.jpg,
City National Bank,CITY NATIONAL BANK,Commercial; Interior,Commercial,,,2022-05-23,,,project-city-national-bank.jpg,https://www.bdiconstruction.com/wp-content/uploads/2022/05/DSC_1590-for-web.jpg,
The Historic Shrine Building,THE HISTORIC SHRINE BUILDING,Commercial,Commercial,,,2022-05-22,,,project-historic-shrine-building.jpg,https://www.bdiconstruction.com/wp-content/uploads/2022/05/Photo-May-14-8-33-45-AM-1.jpg,
Grove Bay Harbour Boat Racks,GROVE BAY HARBOUR BOAT RACKS,Commercial,Commercial,,,2022-05-20,,,project-grove-bay-harbour-boat-racks.jpg,https://www.bdiconstruction.com/wp-content/uploads/2022/05/Photo-Mar-29-9-42-22-AM-1.jpg,
Bocce Bar & Restaurant,BOCCE BAR & RESTAURANT,Commercial; Interior,Commercial,,,2022-05-18,,,project-bocce-bar-restaurant.jpg,https://www.bdiconstruction.com/wp-content/uploads/2022/05/13_HDR2.jpg,
Mondelez International - Kraft Foods Corporate Office,MONDELEZ INTERNATIONAL - KRAFT FOODS CORPORATE OFFICE,Interior,,,,2022-04-10,,,project-mondelez-international-kraft-foods-corporate-office.jpg,https://www.bdiconstruction.com/wp-content/uploads/2023/05/m-1.png,
Uhealth - Jackson Urgent Care,UHEALTH - JACKSON URGENT CARE,Commercial; Interior,Commercial,,,2021-12-26,,,project-uhealth-jackson-urgent-care.jpg,https://www.bdiconstruction.com/wp-content/uploads/2021/12/DSC_1208.jpg,
University of Miami Greenhouse,UNIVERSITY OF MIAMI GREENHOUSE,Exterior; Interior,,,,2021-12-24,,,project-university-miami-greenhouse.jpg,https://www.bdiconstruction.com/wp-content/uploads/2020/10/web-2.jpg,
Richemont Coral Gables Corporate Office,RICHEMONT CORAL GABLES CORPORATE OFFICE,Commercial; Interior,Commercial,,,2021-12-22,,,project-richemont-coral-gables.jpg,https://www.bdiconstruction.com/wp-content/uploads/2021/12/DSC_8799.jpg,
